정류소번호,정류소명,총계,성인 승차 인원,청소년 승차 인원,어린이 승차 인원,위도,경도
2241,한국은행,115273,95988,18085,1200,35.15786402,126.84804500
2198,유덕초교,114795,96700,17077,1018,35.16472500,126.86357175
4556,평화맨션,114791,104907,8835,1048,35.17297133,126.91733064
4031,롯데칠성,114740,87383,26268,1090,35.19896389,126.87598333
4216,금호아파트,114699,72912,22860,18926,35.18094300,126.93413324
5393,광주교통방송,114486,69997,24189,20300,35.22194167,126.84548889
5454,첨단사거리,114450,80308,25106,9036,35.21793502,126.84086857
1115,대인시장(서),114274,107180,5463,1631,35.15262455,126.91710574
2008,현대자동차,113787,103640,9316,831,35.16138157,126.88569722
3156,송암공단입구,113359,62449,34570,16340,35.10890044,126.87844569
4461,체육고/폴리텍5대학,113193,89829,21093,2272,35.18197500,126.88070000
2078,광주학생독립운동기념관,113121,82384,29289,1448,35.14467778,126.86415000
4446,광주지방기상청,112386,95526,16264,596,35.17207222,126.89090556
2069,상무호반3차,111625,85449,23796,2379,35.15974970,126.86329493
3286,대동마을,111426,73426,23785,14215,35.10305790,126.88974760
4496,임동농협,111110,101515,8523,1072,35.16294800,126.89720000
3088,송림주택,110911,97576,12938,398,35.13103202,126.91814521
5703,수완현진에버빌1차,110852,75486,30671,4695,35.19458158,126.82283361
4430,동천마을6단지,110641,96034,13448,1159,35.17154489,126.86973896
1148,조선대공과대학,110437,101286,8763,388,35.14190570,126.92461983
4032,복룡입구,110041,90976,17943,1123,35.21427900,126.86425400
4374,오치주공,109892,95575,13422,895,35.18711700,126.90326200
2191,버들마을,109794,95034,13497,1263,35.16235833,126.86278611
4574,양산택지사거리,109396,87531,20916,950,35.21037632,126.87927357
3157,송암동,109023,86921,17253,4849,35.09901422,126.87763363
1033,율곡초교,108948,94496,11432,3020,35.16041111,126.93529722
2297,유니버시아드힐스테이트,108804,78028,29425,1351,35.14752500,126.88425556
4557,평화맨션,108208,99492,8006,710,35.17275364,126.91775009
5252,광산경찰서,107740,73639,31364,2738,35.15111389,126.78534722
1131,문화전당역,107097,93813,11105,2179,35.14544429,126.92124635
2266,풍암한국아파트,107076,89417,16430,1230,35.12116010,126.88072251
4433,운암초교,106893,90845,15332,716,35.17959546,126.87197269
4510,광주은행북부지점,106500,98968,6456,1076,35.15610205,126.90387394
2278,한국병원,106234,89533,15569,1132,35.15687398,126.86908563
4226,도선사,106172,46203,31057,28912,35.19558435,126.93462189
4541,광주역육교,105664,98882,6164,618,35.16755540,126.90908027
5153,광산구청,105355,94748,9210,1397,35.14098729,126.79384349
5578,흑석사거리(동),105168,79148,21277,4743,35.18008800,126.81095300
5442,응암공원,105119,80478,21553,3088,35.21664811,126.83462701
4351,전남대사거리(서),104896,92453,10093,2350,35.16921943,126.90265660
4167,청명아파트,104768,86729,17349,690,35.16990278,126.92727222
